segment_type,segment_value,count,rmse,mae,bias,mean_actual,mean_prediction
overall,all,3240,6.386355875079595,4.673174468497415,-1.7397074873835001,76.7689808451409,75.02927335775742
fold,1,1080,7.925846684221489,5.760885287807671,-1.9527534080881526,75.41502940983052,73.46227600174238
fold,2,1080,5.910345118042147,4.415649861630218,-1.4016956768085438,78.45289577179499,77.05120009498644
fold,3,1080,4.960382950271231,3.8429882560543547,-1.8646733772538036,76.43901735379721,74.57434397654339
hour,0,810,6.493389773471924,4.754504353686239,-1.9907733896605901,75.58708512550564,73.59631173584505
hour,6,810,7.031735069570803,5.116946917889189,-1.9743932915170375,75.53884952267614,73.5644562311591
hour,12,810,5.953441298056158,4.394990938397851,-1.244679641726219,76.96859535991845,75.72391571819223
hour,18,810,6.007436501902648,4.426255664016379,-1.7489836266301535,78.98139337246339,77.23240974583324
meter_id,M000,180,7.440390872056595,5.831184919591683,-4.807169771148901,95.55360179338415,90.74643202223523
meter_id,M001,180,7.239302933169549,5.286755532381372,3.1875134636346285,62.38013042482144,65.56764388845608
meter_id,M002,180,7.194751168490239,5.460333896754038,-4.4264009711100405,92.9306452947989,88.50424432368885
meter_id,M003,180,5.932543036598834,4.572042105721949,-3.4319911497967315,91.09031067101186,87.65831952121515
meter_id,M004,180,5.473345885347749,4.084581410524538,-0.6486398855150286,48.15052451569708,47.50188463018205
meter_id,M005,180,5.015227534025672,3.8145805192657347,-2.3015406667331484,105.00546372492333,102.70392305819017
meter_id,M006,180,6.144148966403119,4.822567770839673,-3.8688847262182806,92.68306652183057,88.8141817956123
meter_id,M007,180,7.778207335131343,5.770231174435887,-4.030723874156042,84.43322687604078,80.40250300188474
meter_id,M008,180,4.7393293864161,3.638211312343442,-0.45539975955923195,50.822121209186356,50.36672144962712
meter_id,M009,180,4.617839593174447,3.5927614365403246,-0.3238974102793308,73.37455851679157,73.05066110651224
meter_id,M010,180,6.599411463871254,4.4140173185371205,2.3294910185242257,61.41106331370771,63.74055433223193
meter_id,M011,180,7.073511117440174,5.025892189291043,-3.7378141428634737,100.11418118881815,96.3763670459547
meter_id,M012,180,5.869858507533173,4.515096201621286,-2.702411031711314,89.82829323507183,87.12588220336052
meter_id,M013,180,10.069049229297544,7.709732654402333,-5.861429164579533,89.94513719177694,84.0837080271974
meter_id,M014,180,4.210033934210212,3.3401198236540597,-0.4010206826971664,69.84180462501055,69.4407839423134
meter_id,M015,180,6.124101127758153,4.318051814158765,1.107975649660757,62.90754057240836,64.01551622206911
meter_id,M016,180,6.572845322220274,4.943521730352305,-0.14663964002906998,66.74153399377438,66.5948943537453
meter_id,M017,180,3.795714389156332,2.977458622537905,-0.795752028325317,44.62845154348235,43.83269951515703
region,east,1080,5.500675528322071,4.0427660606410365,-2.019654708548063,77.22377793103661,75.20412322248855
region,north,1080,6.077133997771081,4.608617374745614,-2.3377297399156336,84.23956188508306,81.90183214516742
region,south,1080,7.427491850870286,5.368139970105592,-0.8617380136868036,68.84360271930305,67.98186470561626
customer_type,commercial,1080,7.427491850870286,5.368139970105592,-0.8617380136868036,68.84360271930305,67.98186470561626
customer_type,industrial,1080,5.500675528322071,4.0427660606410365,-2.019654708548063,77.22377793103661,75.20412322248855
customer_type,residential,1080,6.077133997771081,4.608617374745614,-2.3377297399156336,84.23956188508306,81.90183214516742
consumption_band,Q1,648,6.396895438050496,4.394780672259919,1.7142283424918907,47.6905610846999,49.40478942719179
consumption_band,Q2,648,5.259524429250678,3.8974901206415162,0.9740294718929458,64.5136235234521,65.48765299534504
consumption_band,Q3,648,5.443043716116613,4.084867639848976,-1.6035118883030077,78.25610871577724,76.65259682747424
consumption_band,Q4,648,6.06000463440915,4.365240174033279,-3.558879621179353,91.76290567223967,88.20402605106031
consumption_band,Q5,648,8.306290223918579,6.623493735703382,-6.224403741819975,101.62170522953562,95.39730148771567
is_weekend,0,2232,6.239042359974307,4.565993848877786,-1.7034880846275424,76.96183800015663,75.2583499155291
is_weekend,1,1008,6.701035232848076,4.910502983369448,-1.8199075934859772,76.3419400018918,74.52203240840582
planned_maintenance,0,3189,6.310337303947871,4.614369871800245,-1.8943492212055437,76.90088169982396,75.00653247861841
planned_maintenance,1,51,10.056736982728069,8.350191309032226,7.929949162783121,68.52129799054838,76.45124715333148
