row_id,timestamp,meter_id,region,customer_type,planned_maintenance,consumption_kwh,prediction,is_validated,fold,error,residual,abs_error,squared_error,hour,dayofweek,is_weekend,consumption_band
R0001080,2026-01-16 00:00:00,M000,north,residential,0,90.42260241050984,89.54144449081797,True,1,-0.8811579196918728,0.8811579196918728,0.8811579196918728,0.776439279435709,0,4,0,Q4
R0001081,2026-01-16 00:00:00,M001,south,commercial,0,56.57153063887243,64.30288298277374,True,1,7.731352343901307,-7.731352343901307,7.731352343901307,59.77380906554823,0,4,0,Q2
R0001082,2026-01-16 00:00:00,M002,east,industrial,0,84.46791883341224,87.1172701415481,True,1,2.649351308135863,-2.649351308135863,2.649351308135863,7.019062353921208,0,4,0,Q3
R0001083,2026-01-16 00:00:00,M003,north,residential,0,88.89148047283179,87.2944414618948,True,1,-1.5970390109369816,1.5970390109369816,1.5970390109369816,2.5505336024545726,0,4,0,Q4
R0001084,2026-01-16 00:00:00,M004,south,commercial,0,31.677947384502005,35.54008386608346,True,1,3.8621364815814516,-3.8621364815814516,3.8621364815814516,14.916098202362354,0,4,0,Q1
R0001085,2026-01-16 00:00:00,M005,east,industrial,0,103.06320320076692,101.0064720208908,True,1,-2.056731179876124,2.056731179876124,2.056731179876124,4.230143146274632,0,4,0,Q5
R0001086,2026-01-16 00:00:00,M006,north,residential,0,84.8980435556737,88.39932417556729,True,1,3.501280619893592,-3.501280619893592,3.501280619893592,12.258965979242456,0,4,0,Q3
R0001087,2026-01-16 00:00:00,M007,south,commercial,0,71.97548089458188,72.12514234449357,True,1,0.14966144991169017,-0.14966144991169017,0.14966144991169017,0.022398549589669345,0,4,0,Q3
R0001088,2026-01-16 00:00:00,M008,east,industrial,0,45.39791839925394,47.65158496986874,True,1,2.2536665706148042,-2.2536665706148042,2.2536665706148042,5.079013011506692,0,4,0,Q1
R0001089,2026-01-16 00:00:00,M009,north,residential,0,76.00939424509303,73.70829709684737,True,1,-2.3010971482456597,2.3010971482456597,2.3010971482456597,5.295048085664307,0,4,0,Q3
R0001090,2026-01-16 00:00:00,M010,south,commercial,0,54.50728044650539,53.57276861345954,True,1,-0.9345118330458533,0.9345118330458533,0.9345118330458533,0.8733123661027208,0,4,0,Q1
R0001091,2026-01-16 00:00:00,M011,east,industrial,0,94.2974271439609,94.45300504166082,True,1,0.1555778976999136,-0.1555778976999136,0.1555778976999136,0.024204482252724778,0,4,0,Q4
R0001092,2026-01-16 00:00:00,M012,north,residential,0,87.99303370469494,86.88645915563582,True,1,-1.1065745490591183,1.1065745490591183,1.1065745490591183,1.2245072326253912,0,4,0,Q4
R0001093,2026-01-16 00:00:00,M013,south,commercial,0,76.99576259074894,80.17843256685019,True,1,3.182669976101252,-3.182669976101252,3.182669976101252,10.129388176776343,0,4,0,Q3
R0001094,2026-01-16 00:00:00,M014,east,industrial,0,66.41260033228312,66.28309196226293,True,1,-0.12950837002019,0.12950837002019,0.12950837002019,0.016772417905286448,0,4,0,Q2
R0001095,2026-01-16 00:00:00,M015,north,residential,0,64.94931539085626,62.355326816524105,True,1,-2.593988574332151,2.593988574332151,2.593988574332151,6.728776723765746,0,4,0,Q2
R0001096,2026-01-16 00:00:00,M016,south,commercial,0,55.15561338447311,67.69299479894224,True,1,12.537381414469131,-12.537381414469131,12.537381414469131,157.185932731876,0,4,0,Q1
R0001097,2026-01-16 00:00:00,M017,east,industrial,0,38.35880857345521,41.73067822061178,True,1,3.371869647156572,-3.371869647156572,3.371869647156572,11.369504917415787,0,4,0,Q1
R0001098,2026-01-16 06:00:00,M000,north,residential,0,92.9560520065162,89.18096425684493,True,1,-3.775087749671272,3.775087749671272,3.775087749671272,14.251287517718106,6,4,0,Q4
R0001099,2026-01-16 06:00:00,M001,south,commercial,0,52.930365020634646,73.01840947649607,True,1,20.08804445586143,-20.08804445586143,20.08804445586143,403.5295300606651,6,4,0,Q1
R0001100,2026-01-16 06:00:00,M002,east,industrial,0,90.276802499466,88.49289539706382,True,1,-1.783907102402182,1.783907102402182,1.783907102402182,3.182324550000949,6,4,0,Q4
R0001101,2026-01-16 06:00:00,M003,north,residential,0,91.53150773501348,86.31041059905911,True,1,-5.221097135954366,5.221097135954366,5.221097135954366,27.259855303070886,6,4,0,Q4
R0001102,2026-01-16 06:00:00,M004,south,commercial,0,35.164005660975604,36.47301988856303,True,1,1.3090142275874257,-1.3090142275874257,1.3090142275874257,1.7135182480263047,6,4,0,Q1
R0001103,2026-01-16 06:00:00,M005,east,industrial,0,102.59131218535406,101.6804089829729,True,1,-0.9109032023811494,0.9109032023811494,0.9109032023811494,0.8297446441082332,6,4,0,Q5
R0001104,2026-01-16 06:00:00,M006,north,residential,0,90.88695826374524,86.63536651721832,True,1,-4.251591746526927,4.251591746526927,4.251591746526927,18.076032379135885,6,4,0,Q4
R0001105,2026-01-16 06:00:00,M007,south,commercial,0,75.82146895827807,77.70144914460982,True,1,1.8799801863317498,-1.8799801863317498,1.8799801863317498,3.5343255009999606,6,4,0,Q3
R0001106,2026-01-16 06:00:00,M008,east,industrial,0,52.20847743140292,49.19759991958191,True,1,-3.0108775118210076,3.0108775118210076,3.0108775118210076,9.065383391189462,6,4,0,Q1
R0001107,2026-01-16 06:00:00,M009,north,residential,0,73.19646792139008,75.41324109272878,True,1,2.2167731713387013,-2.2167731713387013,2.2167731713387013,4.914083293167043,6,4,0,Q3
R0001108,2026-01-16 06:00:00,M010,south,commercial,0,51.090421368112,53.33809985245179,True,1,2.2476784843397937,-2.2476784843397937,2.2476784843397937,5.052058568964032,6,4,0,Q1
R0001109,2026-01-16 06:00:00,M011,east,industrial,1,85.81843780072415,90.5076653669564,True,1,4.689227566232248,-4.689227566232248,4.689227566232248,21.98885516791241,6,4,0,Q3
R0001110,2026-01-16 06:00:00,M012,north,residential,0,88.04928017527291,85.477490217017,True,1,-2.5717899582559056,2.5717899582559056,2.5717899582559056,6.614103589385913,6,4,0,Q4
R0001111,2026-01-16 06:00:00,M013,south,commercial,1,66.67871411490383,76.3363853295093,True,1,9.657671214605472,-9.657671214605472,9.657671214605472,93.27061328941913,6,4,0,Q2
R0001112,2026-01-16 06:00:00,M014,east,industrial,0,70.87095752453028,65.57133233201422,True,1,-5.299625192516061,5.299625192516061,5.299625192516061,28.086027181150893,6,4,0,Q2
